# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
0 8378083.1 97.92954814687023 80.9811578531583 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
1 8378116.4 97.92954814687023 80.9811578531583 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
2 8378149.7 97.9271171968728 80.9811578531583 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
3 8378183.1 97.9271171968728 80.99950136611254 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
4 8378216.4 97.9271171968728 80.99950136611254 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
5 8378249.7 97.92191495594373 80.99950136611254 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
6 8378283.1 97.92191495594373 81.02619974835184 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
7 8378316.4 97.92191495594373 81.02619974835184 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
8 8378349.7 97.92191495594373 81.02619974835184 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
9 8378383.1 97.91953227074082 81.04204588656512 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
10 8378416.4 97.91953227074082 81.04204588656512 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
11 8378449.7 97.91953227074082 81.04204588656512 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
12 8378483.1 97.91693976256713 81.04204588656512 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
13 8378516.4 97.91693976256713 81.05493247365139 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
14 8378549.8 97.91693976256713 81.05493247365139 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
15 8378583.1 97.91693976256713 81.05493247365139 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
16 8378616.4 97.91568499593619 81.05493247365139 144.30598242187492 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
